"UNCN_NM_UNID_CRONO";"UNCN_NM_UNID_CRONO_ING";"UNCN_NM_UNID_GEOCRN";"UNCN_NM_GEOCRN_ING"
"Zancleano";"Zanclean";"Zancleano";"Zanclean"
"Zancleano superior";"upper Zanclean";"neozancleano";""
"Plioceno Inferior parte media";"middle Lower Pliocene";"Eoplioceno mediano";""
"Zancleano medio";"middle Zanclean";"mesozancleano";""
"Plioceno Inferior parte inferior";"lower Lower Pliocene";"Eoplioceno inicial";""
"Zancleano inferior";"lower Zanclean";"eozancleano";""
"Mioceno";"Miocene";"Mioceno";"Miocene"
"Mioceno Superior";"Upper Miocene";"Neomioceno";"Late Miocene"
"Mioceno Superior parte superior";"upper Upper Miocene";"Neomioceno final";""
"Messiniano";"Messinian";"Messiniano";"Messinian"
"Messiniano superior";"upper Messinian";"neomessiniano";""
"Messiniano medio";"middle Messinian";"mesomessiniano";""
"Messiniano inferior";"lower Messinian";"eomessiniano";""
"Tortoniano";"Tortonian";"Tortoniano";"Tortonian"
"Fanerozoico";"Phanerozoic";"Fanerozoico";"Phanerozoic"
"Cenozoico";"Cenozoic";"Cenozoico";"Cenozoic"
"Holoceno";"Holocene";"Holoceno";"Holocene"
"Pleistoceno";"Pleistocene";"Pleistoceno";"Pleistocene"
"Pleistoceno Superior";"Upper Pleistocene";"Neopleistoceno";"Late Pleistocene"
"Tarantiano";"Tarantian";"Tarantiano";"Tarantian"
"Pleistoceno Médio";"Middle Pleistocene";"Mesopleistoceno";"Middle Pleistocene"
"Ioniano";"Ionian";"Ioniano";"Ionian"
"Pleistoceno Inferior";"Lower Pleistocene";"Eopleistoceno";"Early Pleistocene"
"Calabriano";"Calabrian";"Calabriano";"Calabrian"
"Gelasiano";"Gelasian";"Gelasiano";"Gelasian"
"Gelasiano superior";"upper Gelasian";"neogelasiano";""
"Gelasiano inferior";"lower Gelasian";"eogelasiano";""
"Terciario";"Tertiary";"Terciario";""
"Terciario superior";"upper Tertiary";"neoterciario";""
"Plioceno";"Pliocene";"Plioceno";"Pliocene"
"Plioceno Superior";"Upper Pliocene";"Neoplioceno";"Late Pliocene"
"Plioceno Superior parte superior";"upper Upper Pliocene";"Neoplioceno final";""
"Piacenziano";"Piacenzian";"Piacenziano";"Piacenzian"
"Piacenziano superior";"upper Piacensian";"neopiacenziano";""
"Chatauquano";"Chatauquan";"Chatauquano";""
"Famenniano + superior (Stuniano)";"uppermost Famennian (Stunian)";"Famenniano terminal (Stuniano)";""
"Famenniano Superior";"Upper Famennian";"Neofamenniano";"Late Famennian"
"Famenniano médio";"middle Famennian";"mesofamenniano";""
"Famenniano Inferior";"Lower Famennian";"Eofamenniano";"Early Famennian"
"Devoniano Médio";"Middle Devonian";"Mesodevoniano";"Middle Devonian"
"Givetiano";"Givetian";"Givetiano";"Givetian"
"Eifeliano";"Eifelian";"Eifeliano";"Eifelian"
"Devoniano Inferior";"Lower Devonian";"Eodevoniano";"Early Devonian"
"Emsiano";"Emsian";"Emsiano";"Emsian"
"Pragiano";"Pragian";"Pragiano";"Pragian"
"Lochkoviano";"Lochkovian";"Lochkoviano";"Lochkovian"
"Siluriano";"Silurian";"Siluriano";"Silurian"
"Pridoli";"Pridoli";"Pridoli";"Pridoli"
"Ludlow";"Ludlow";"Ludlow";"Ludlow"
"Ludfordiano";"Ludfordian";"Ludfordiano";"Ludfordian"
"Gorstiano";"Gorstian";"Gorstiano";"Gorstian"
"Wenlock";"Wenlock";"Wenlock";"Wenlock"
"Homeriano";"Homerian";"Homeriano";"Homerian"
"Sheinwoodiano";"Sheinwoodian";"Sheinwoodiano";"Sheinwoodian"
"Llandovery";"Llandovery";"Llandovery";"Llandovery"
"Telychiano";"Telychian";"Telychiano";"Telychian"
"Aeroniano";"Aeronian";"Aeroniano";"Aeronian"
"Rhuddaniano";"Rhuddanian";"Rhuddaniano";"Rhuddanian"
"Ordoviciano";"Ordovician";"Ordoviciano";"Ordovician"
"Ordoviciano Superior";"Upper Ordovician";"Neo-ordoviciano";"Late Ordovician"
"Hirnantiano";"Hirnantian";"Hirnantiano";"Hirnantian"
"Katiano";"Katian";"Katiano";"Katian"
"Sandbiano";"Sandbian";"Sandbiano";"Sandbian"
"Ordoviciano Médio";"Middle Ordovician";"Meso-ordoviciano";"Middle Ordovician"
"Darriwiliano";"Darriwilian";"Darriwiliano";"Darriwilian"
"Dapingiano";"Dapingian";"Dapingiano";"Dapingian"
"Ordoviciano Inferior";"Lower Ordovician";"Eo-ordoviciano";"Early Ordovician"
"Floiano";"Floian";"Floiano";"Floian"
"Tremadociano";"Tremadocian";"Tremadociano";"Tremadocian"
"Cambriano";"Cambrian";"Cambriano";"Cambrian"
"Furongiano";"Furongian";"Furongiano";"Furongian"
"Andar 10";"Stage 10";"Idade 10";"Age 10"
"Subandar 10-b";"10-b";"Subidade 10-b";""
"Subandar 10-a";"10-a";"Subidade 10-a";""
"Jiangshaniano";"Jiangshanian";"Jiangshaniano";"Jiangshanian"
"Paibiano";"Paibian";"Paibiano";"Paibian"
"Drumiano";"Drumian";"Drumiano";"Drumian"
"Andar 5";"Stage 5";"Idade 5";"Age 5"
"Série 2";"Serie 2";"Época 2";"Epoch 2"
"Andar 4";"Stage 4";"Idade 4";"Age 4"
"Andar 3";"Stage 3";"Idade 3";"Age 3"
"Andar 2";"Stage 2";"Idade 2";"Age 2"
"Fortuniano";"Fortunian";"Fortuniano";"Fortunian"
"Pre-Cambriano";"Precambrian";"Pre-Cambriano";""
"Proterozoico";"Proterozoic";"Proterozoico";"Proterozoic"
"Neoproterozoico";"Neoproterozoic";"Neoproterozoico";"Neoproterozoic"
"Ediacarano";"Ediacaran";"Ediacarano";"Ediacaran"
"Cryogeniano";"Cryogenian";"Cryogeniano";"Cryogenian"
"Toniano";"Tonian";"Toniano";"Tonian"
"Mesoproterozoico";"Mesoproterozoic";"Mesoproterozoico";"Mesoproterozoic"
"Steniano";"Stenian";"Steniano";"Stenian"
"Ectasiano";"Ectasian";"Ectasiano";"Ectasian"
"Calymmiano";"Calymmian";"Calymmiano";"Calymmian"
"Paleoproterozoico";"Paleoproterozoic";"Paleoproterozoico";"Paleoproterozoic"
"Statheriano";"Statherian";"Statheriano";"Statherian"
"Orosiriano";"Orosirian";"Orosiriano";"Orosirian"
"Rhyaciano";"Rhyacian";"Rhyaciano";"Rhyacian"
"Sideriano";"Siderian";"Sideriano";"Siderian"
"Arqueano";"Archean";"Arqueano";"Archean"
"Neoarqueano";"Neoarchean";"Neoarqueano";"Neoarchean"
"Mesoarqueano";"Mesoarchean";"Mesoarqueano";"Mesoarchean"
"Eoarqueano";"Eoarchean";"Eoarqueano";"Eoarchean"
"Hadeano";"Hadean";"Hadeano";"Hadean"
"SENONIANO";"";"";""
"SANTONIANO SUPERIOR PARTE MEDIA";"";"";""
"Berriasiano Médio";"Middle Berriasian";"Mesoberriasiano";"Middle Berriasian"
"MALM";"";"";""
"TITHONIANO MEDIO";"";"";""
"CAMBRIANO MEDIO";"";"";""
"CAMBRIANO INFERIOR";"";"";""
"RIPHEANO";"";"";""
"STURTIANO";"";"";""
"VENDIANO";"";"";""
"CAMBRIANO SUPERIOR";"";"";""
"CARBONIFERO INFERIOR";"";"";""
"CARBONIFERO SUPERIOR";"";"";""
